Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Workout_Frequency (days/week),Experience_Level,BMI,Calories,Burns Calories (per 30 min),cal_from_macros,pct_HRR,pct_maxHR,lean_mass_kg,expected_burn
50.51,Male,86.37,1.63,160.92,143.2,57.87,1.69,1974.26,Strength,29.0715285,4.01,2.98,32.51,2476,356.2,2065.28,0.828044639,0.889883172,61.26092084,1203.956
47.77,Female,83.89,1.82,176.36,148.74,69.91,1.91,2733.4,HIIT,23.6493182,5.02,3.01,25.33,2232,361.13,1848.79,0.740535463,0.843388523,64.05058696,1379.5166
19,Male,82.66,1.96,173.75,168.71,62.16,1.89,2700.62,HIIT,24.12878692,5.02,2.99,21.52,2569,357.96,1446.67,0.954834663,0.970992806,62.71514473,1353.0888
38.01,Female,57.67,1.56,184.91,132.43,54.04,1.64,2345.2,HIIT,26.5944312,5,3,23.7,1726,338.54,2955.34,0.598991365,0.716186253,42.33299153,1110.4112
27.39,Female,71.79,1.97,180.96,151.11,72.68,0.75,743.85,Strength,24.47776253,3.01,1.02,18.5,2046,356.83,1654.72,0.724325822,0.835046419,54.21741428,535.245
18.86,Female,95.12,1.85,189.48,142.51,49.9,1.2,1293.84,Strength,28.04992817,4,1.98,27.79,2455,359.74,2384.3,0.663490471,0.752111041,68.43890832,863.376
40.36,Male,56.88,1.71,168.02,142.67,60.89,1.87,2189.58,Strength,21.80926489,5.02,3.01,19.45,1740,342.47,1538.55,0.763371605,0.849125104,44.47489013,1280.8378
37.14,Male,76.48,1.77,180.29,127.8,56.76,1.36,1305.6,Cardio,30.30073791,4,2,24.41,2166,356.98,1868.13,0.575082976,0.708857951,53.30599564,970.9856
18.93,Male,72.56,1.79,177.48,124.41,60.95,0.81,803.36,Strength,26.4051144,2.99,1.02,22.65,1802,332.12,1750.89,0.544580795,0.700980392,53.40044899,538.0344
46,Male,60.05,1.68,164.91,147.1,62.34,1.17,1544.4,HIIT,21.80402936,4.01,2,21.28,1716,350.23,1985.6,0.826362484,0.892001698,46.95668037,819.5382
37.06,Female,73.04,1.74,188.15,140.95,65.11,1.04,1123.2,Strength,25.78541781,3,2,24.12,2038,333.67,2405.7,0.616384915,0.749136327,54.20633083,694.0336
50.23,Female,86.72,1.63,160.86,143.17,58.08,1.7,1326,Yoga,29.12385209,4,3,32.64,2212,356.6,2062.16,0.827884802,0.890028596,61.46379547,1212.44
30.9,Female,76.77,1.71,189.88,137.2,51.88,1.27,1214.12,Cardio,29.3186066,3.98,1.95,26.25,2182,353.43,1775.49,0.61826087,0.722561618,54.26210571,897.7122
24.03,Female,88.29,1.79,177.55,153.6,65.23,1.76,1831.81,Cardio,26.76935405,4.01,3.01,27.56,2410,350.66,1392.84,0.786769943,0.86510842,64.65533731,1234.3232
50.53,Male,57.01,1.91,184.12,131.58,68.07,1.09,1177.2,Strength,22.39259644,3.99,2,15.63,1510,360.04,1421.78,0.54726411,0.714642624,44.24398077,784.8872
54.03,Female,87.22,1.76,188.72,157.91,68,1.48,1067.38,Yoga,28.41849946,3,2.02,28.16,2269,338.3,2375.5,0.744781312,0.836742264,62.43338477,1001.368
25.11,Female,105.44,1.88,174.12,155.79,67.11,1.33,1277.86,Cardio,30.8925715,2.99,2.01,29.83,3016,355.39,1587.97,0.828707597,0.894727774,72.86687261,945.3374
39.05,Male,102.34,1.94,192.28,133.68,50.01,0.9,792,Cardio,32.46285886,3.01,1,27.19,2624,368.66,2249.97,0.58810712,0.695236114,69.11751024,663.588
44.1,Female,89.6,1.99,192.1,135.01,58.1,1.4,1848,HIIT,23.09052321,4,2,22.63,2601,339.35,2570.85,0.573955224,0.702811036,68.9108912,950.18
18.06,Male,58.56,1.61,174.64,150.33,70.81,1.9,2226.42,Strength,24.49692166,3.99,3.02,22.59,1549,334.26,1847.25,0.765867283,0.860799359,44.21460267,1270.188
57.07,Female,76.9,1.86,173.05,140.94,55.07,1.15,827.31,Yoga,29.43941071,3.99,1.99,22.23,1981,353.89,1659.36,0.727835226,0.814446692,54.26109316,813.947
49.66,Male,52.57,1.84,195.03,124.28,51.7,1.38,1324.8,Cardio,14.84197562,4,2,15.53,1497,346.31,1361.81,0.506383869,0.637235297,44.76757342,955.8156
31.63,Male,126.53,1.83,197.68,146.15,61.92,1.1,790.68,Yoga,35,2.99,1.98,37.78,3255,361.2,2443.91,0.620433117,0.739326184,82.2445,794.64
41.8,Male,59.72,1.74,194.24,141.17,51.86,1.78,2545.4,HIIT,19.44670308,5.01,3,19.73,1741,364.95,1609.46,0.627265065,0.726781301,48.10642892,1299.222
37.51,Male,76.59,1.82,191.56,121.3,49.83,1.49,1072.8,Yoga,22.57558194,3.98,2,23.12,1950,344.07,1512.84,0.50426868,0.633221967,59.29936179,1025.3286
39.98,Male,79.99,1.76,167.75,166.6,74.26,1.63,1902.7,Strength,28.83045323,5.01,2.97,25.82,2030,348.23,1885.37,0.987699219,0.99314456,56.92852046,1135.2298
25.49,Female,127.55,1.73,167.12,159.98,62.04,1.33,1607.84,HIIT,35,3.02,1,42.62,3313,130.05,2368.34,0.93205177,0.957276209,82.9075,345.933
58.24,Female,56.96,1.7,170.09,121.89,57.07,0.74,895.4,HIIT,23.56504525,1.99,1,19.71,1390,357.81,1652.53,0.573526809,0.716620613,43.53735023,529.5588
48.18,Female,56.53,1.51,184.75,125.44,52.26,1.37,1311.91,Cardio,28.50765309,3.97,1.97,24.79,1489,330.57,1719.13,0.552343573,0.678971583,40.41462371,905.7618
27.19,Male,88.2,1.98,161.8,152.85,52.99,1.8,2577.96,HIIT,21.0470718,4.01,3.02,22.5,2531,336.55,2371.53,0.917746531,0.944684796,69.63648267,1211.58
40.14,Male,51.72,1.61,198.12,128.23,70.18,0.86,566.57,Yoga,23.71315013,1.99,1,19.95,1325,359.4,1731.82,0.45372831,0.647234,39.45555876,618.168
41.1,Female,77.05,1.79,171.94,132.06,56.07,1.4,1849.54,HIIT,25.76563404,4,2.01,24.05,2334,331.76,2326.01,0.655821179,0.768058625,57.19757898,928.928
52.36,Female,51.93,1.67,169,124.55,51.78,1.5,1818.3,HIIT,22.05923703,1.97,1.02,18.62,1353,350.88,2254.06,0.620798499,0.736982249,40.47463821,1052.64
36.02,Female,109.87,1.77,191.11,156.06,73.76,1.19,786.11,Yoga,33.42563808,1.99,1.01,35.07,2728,369.34,2453.77,0.701320835,0.816597771,73.14525145,879.0292
33.07,Male,102.83,1.75,185.94,140.25,52.91,1.4,1003.8,Yoga,29.93347627,3,1.95,33.58,2657,363.78,2306.15,0.656543637,0.754275573,72.04940635,1018.584
37.35,Female,88.65,1.79,182.36,137.78,67.81,1.74,2490.11,HIIT,29.5974905,5.04,3.01,27.67,2621,373.65,3426.16,0.610824967,0.755538495,62.41182467,1300.302
21.24,Female,80.78,1.9,193.85,137.76,55.01,1.8,2575.98,HIIT,22.69183195,4.01,3.01,22.38,2174,355.67,1291.41,0.596009795,0.710652566,62.44953815,1280.412
25.76,Female,70.53,1.5,182.39,142.14,53.94,1.15,1011.08,Cardio,30.919319,1.97,1,31.35,1839,368.91,1736.25,0.686648501,0.779319042,48.72260431,848.493
40.09,Male,54.73,1.61,183.75,157.78,64.12,1.55,1209,Yoga,22.60975439,3.98,3,21.11,1549,333.31,2196.71,0.782913985,0.858666667,42.35568142,1033.261
32.59,Male,52.75,1.66,190.86,128.92,71.91,1.26,1248.53,Strength,23.56556909,2.96,1.01,19.14,1446,350.36,1976.68,0.479277007,0.67546893,40.3191623,882.9072
52.62,Female,84.36,1.76,164.87,137.25,69.2,1.68,1308.38,Yoga,26.90164504,5.01,2.98,27.23,2285,351.92,2010.82,0.711299258,0.83247407,61.66577225,1182.4512
58.93,Female,59.66,1.76,193.79,120.64,52.98,1.72,1787.42,Cardio,21.52076364,5,2.99,19.26,1789,337.04,1616.83,0.480505646,0.622529542,46.82071241,1159.4176
52.03,Female,59.98,1.71,169.37,151.06,58.16,1.24,1499.04,HIIT,21.92316157,2.97,1,20.51,1648,199.88,1436.74,0.835356533,0.891893488,46.83048769,495.7024
30.75,Female,76.83,1.62,174.06,127.01,73.99,1.39,999.97,Yoga,28.9754494,3.97,1.99,29.28,2268,345.11,2499.71,0.52982912,0.729690911,54.56816222,959.4058
29.01,Male,58.43,1.61,197.67,121.65,72.05,1.2,1296,Strength,27.54594873,2.99,2,22.54,1771,350.76,1756.88,0.394841586,0.615419639,42.33490216,841.824
39.14,Female,71.32,1.88,197.84,146.63,50.97,0.55,665.5,HIIT,23.9674933,1.99,1,20.18,1934,367.32,2043.3,0.6513243,0.741154468,54.22638378,404.052
39.08,Male,55.58,1.71,183.69,147.75,59.11,1.96,2039.97,Cardio,20.39435029,5,3.01,19.01,1656,340.84,1632.06,0.711510676,0.804344276,44.24482011,1336.0928
38.16,Female,44.9,1.68,193.25,143.88,57.92,1.01,1092.62,Strength,20.66838612,2.98,2.02,15.91,1242,338.1,2268.2,0.635188059,0.744527814,35.61989463,682.962
26.29,Female,59.21,1.51,181.25,128.96,71.25,1.69,2420.42,HIIT,24.98062256,4.97,3.02,25.97,1872,355.43,1448.56,0.524636364,0.711503448,44.41897338,1201.3534
26.92,Male,87.68,1.63,182.88,135.14,73.97,1.75,2052.22,Strength,29.90042295,4.99,3.03,33,2558,372.07,3279.35,0.561656414,0.738954506,61.46330916,1302.245
45.05,Male,63.63,1.54,199.17,133.28,58.05,1.66,1727.73,Cardio,29.04226822,3.99,3.01,26.83,1918,368.48,1781.56,0.533092404,0.669177085,45.15040473,1223.3536
58.04,Female,109.54,1.91,197.5,156.16,55.87,1.48,1065.6,Yoga,30.72971439,3.02,2,30.03,2956,357.61,2454.23,0.708112688,0.790683544,75.87867086,1058.5256
56.29,Female,125.88,1.86,196.94,129.1,63.86,1,960.8,Cardio,35,3.04,2.01,36.39,3424,366.43,2388.17,0.49023144,0.655529603,81.822,732.86
50.13,Female,70.32,1.68,186.97,161.25,70.19,1.16,1147.36,Strength,29.25252977,1.98,1,24.91,1861,259.05,2395.48,0.779756808,0.862437824,49.74962107,600.996
56.77,Male,85.56,1.69,189.23,132.57,50.08,1.77,1842.22,Cardio,28.59816727,5,3.01,29.96,2366,346.69,1609.59,0.592813511,0.700576019,61.09140809,1227.2826
33.93,Female,64.38,1.78,169.13,144.15,63.97,1.33,1438.79,Strength,22.68075383,4.02,2.02,20.32,1731,364.26,1701.96,0.762457208,0.852302962,49.77813069,968.9316
18.77,Male,60.51,1.59,183.97,127.79,53.03,1.15,1012.92,Cardio,27.30236728,2.04,1.01,23.93,1615,249.64,1624.99,0.570948526,0.694624123,43.98933756,574.172
28.33,Female,69.13,1.58,181.99,134.58,49.9,1.49,1073.69,Yoga,28.50902647,2.98,2.01,27.69,1995,335.25,2038.99,0.641078053,0.739491181,49.42171,999.045
31.96,Male,97.49,1.96,188.46,137.25,49.93,1.36,1467.58,Strength,26.50229069,3.01,1.99,25.38,2502,371.13,2209.69,0.63033278,0.728271251,71.65291681,1009.4736
38.76,Male,85.97,1.82,191.07,160.06,72.1,1.96,2807.11,HIIT,28.14838497,5.03,3.02,25.95,2466,340.61,1995.73,0.739346054,0.837703459,61.77083344,1335.1912
36.52,Male,56,1.57,182.37,123.02,52.99,0.97,961.17,Strength,28.37355837,2.02,1.01,22.72,1433,340.72,1663.31,0.541273767,0.674562702,40.11080732,660.9968
52.85,Male,47.69,1.76,163.96,149.27,74.17,1.06,1399.2,HIIT,19.11986565,3.99,2,15.4,1410,344.91,2367.45,0.836396035,0.910404977,38.57173607,731.2092
18,Female,64.01,1.63,161.7,120.44,73.06,0.66,580.8,Cardio,26.84321536,3.01,1,24.09,1758,359.03,1716.35,0.534521661,0.744836116,46.82765785,473.9196
18,Female,62.43,1.59,190.02,161.38,50.38,1.23,1180.8,Cardio,26.63581173,4.01,2,24.69,1857,341.52,1743.98,0.794901174,0.849279023,45.80126274,840.1392
43.69,Female,42.16,1.66,172.79,134.26,53.17,0.73,481.8,Yoga,21.13820341,2.01,1,15.3,1142,335.87,2663.17,0.677896673,0.777012559,33.24813344,490.3702
30.47,Male,87.22,1.69,185.09,129.92,64.85,1.74,1810.99,Cardio,29.38181982,4.01,3.01,30.54,2619,343.62,2342.64,0.541167665,0.701928791,61.59317675,1195.7976
36.85,Male,76.15,1.82,191.78,120.66,50.15,1.49,1431.59,Cardio,26.70870757,3.98,2.01,22.99,1891,343.73,1523.88,0.497846501,0.629158411,55.81131919,1024.3154
18.8,Female,127.92,1.92,184.44,168.17,69.96,1.26,1211.62,Cardio,32.13748244,3.99,2.02,34.7,3376,342.75,1864.45,0.857879106,0.911787031,86.80973246,863.73
24.11,Male,58.82,1.76,189.09,129.86,72.93,0.63,415.42,Yoga,23.04219994,3.04,1,18.99,1760,339.54,2378.41,0.490099862,0.686762917,45.26657799,427.8204
41.04,Female,82.17,1.66,176.8,138.34,74.12,1.98,2060.78,Cardio,30.28477658,4.99,3.01,29.82,2327,346.59,2128.98,0.625438255,0.782466063,57.28499908,1372.4964
42.15,Female,60.3,1.74,194.87,140.88,52.12,1.79,2097.52,Strength,20.86606096,5.02,3.02,19.92,1844,364.54,1613.99,0.62178634,0.722943501,47.71776524,1305.0532
28.23,Male,79.51,1.59,180.81,130.24,54.05,1.48,1950.34,HIIT,32.37572248,3.02,1.98,31.45,2204,359.58,1676.82,0.601057116,0.720314142,53.76806305,1064.3568
53.32,Female,55.68,1.55,170.93,140.91,53.96,1.13,814.28,Yoga,23.80288036,3.98,2.01,23.18,1686,331.29,1738.9,0.743352996,0.82437255,42.42655622,748.7154
43.07,Male,66.62,1.85,169.95,121.09,58.27,1.18,1038.4,Cardio,20.62554946,1.98,1,19.47,1625,368.93,2350.93,0.5625,0.712503678,52.87925895,870.6748
26.92,Male,103.9,1.68,162.06,134.87,61.98,1.29,1239.43,Cardio,34.33074086,3.03,2.01,36.81,2877,351.72,2434.27,0.728317346,0.832222634,68.23036025,907.4376
43.35,Male,82.51,1.95,181.1,159.89,69.97,1.89,2206.2,Strength,26.18143017,5.01,2.97,21.7,2381,337.98,2228.55,0.809142446,0.882882385,60.90770197,1277.5644
40.03,Female,62.99,1.53,197.11,142.95,73.33,1.93,1507.72,Yoga,28.83336055,5.03,3.02,26.91,1952,357.99,2920.57,0.562449507,0.725229567,44.82786619,1381.8414
41.29,Male,43.56,1.77,181.94,165.14,58.1,1.2,792.72,Yoga,18.55093516,3.01,1.01,13.9,1264,164.77,2214.55,0.864341085,0.907661867,35.47921264,395.448
19.32,Male,73.18,1.79,177.33,124.77,60.96,0.82,541.2,Yoga,21.10685279,2.98,1,22.84,2062,332.18,1753.16,0.5483372,0.703603451,57.73400513,544.7752
30,Male,51.78,1.74,174.2,150.11,64.2,1.09,784.8,Yoga,24.92564864,3,2,17.1,1524,332.85,1895.73,0.781,0.861710677,38.87349914,725.613
51.69,Female,70.91,1.72,193.87,143.13,65.98,1.31,1732.08,HIIT,27.33075025,3,2.02,23.97,1946,335.2,1844.64,0.603252795,0.738278228,51.529765,878.224
32.54,Female,62.21,1.63,190.31,160.86,58.16,1.68,2400.55,HIIT,25.79204979,5.02,2.99,23.41,1806,330.95,1742.15,0.777147181,0.845252483,46.16476582,1111.992
21.87,Female,51.25,1.59,196.92,139.06,66.12,1.28,1382.4,Strength,24.91711151,3.07,2,20.27,1252,331.62,1610.95,0.55764526,0.706175096,38.47998035,848.9472
45.08,Female,51.38,1.65,170.2,136.15,50.08,1.44,1266.05,Cardio,23.58927483,2,1,18.87,1430,335.22,1859.67,0.716533467,0.799941246,39.25983059,965.4336
34.09,Male,66.37,1.62,199.27,163.97,55.91,0.8,792.72,Strength,26.57930595,2,1.01,25.29,1692,347.56,1669.5,0.753766741,0.822853415,48.72931464,556.096
58.17,Male,109.07,1.91,197.8,155.84,55.87,1.48,1067.38,Yoga,27.77303969,3,2.02,29.9,2768,357.3,2453.69,0.704361305,0.787866532,78.77794561,1057.608
45.59,Male,48.5,1.64,167.88,159.47,67.08,1.25,1352.25,Strength,26.83565657,4.01,2.02,18.03,1372,348.02,1752.56,0.91656746,0.949904694,35.48470656,870.05
25.05,Female,64.4,1.71,179,167.15,60.91,1.12,1355.2,HIIT,21.37067358,3,1,22.02,1688,340.71,1669.22,0.899652807,0.933798883,50.63728622,763.1904
37.35,Female,54.63,1.57,170.31,150.23,61.93,1.31,1298.08,Strength,27.02522772,3,1.01,22.16,1576,344.03,1636.67,0.814725964,0.882097352,39.8661181,901.3586
54.23,Female,50.32,1.61,187.99,156.71,66.74,1.49,1806.18,HIIT,24.75825435,1.98,1.02,19.41,1231,289.17,2497.67,0.742020619,0.833608171,37.86164641,861.7266
36.43,Male,69.06,1.65,165.01,126.3,65.04,1.23,810.32,Yoga,26.65211342,2.99,1,25.37,1920,341.94,2047.91,0.612783835,0.765408157,50.65405048,841.1724
18.16,Male,73.38,1.55,172.29,124.49,56.24,0.83,729.07,Cardio,32.08806944,3,1,30.54,1951,367.63,1510.67,0.588108574,0.722560799,49.83377465,610.2658
47.62,Male,68.77,1.74,160.09,167.14,58.16,1.48,1597.07,Strength,21.51063431,2.98,1.99,22.71,1807,361.66,2467.99,1.069165113,1.044037729,53.97713678,1070.5136
37.42,Male,102.84,1.89,175.12,167.81,56.74,0.54,356.08,Yoga,30.99245738,1.96,1,28.79,2633,365.45,2283.52,0.938249704,0.958257195,70.96735683,394.686
32.14,Female,49.31,1.62,167.05,158.16,74.06,1.18,1556.3,HIIT,19.86285138,3,1.99,18.79,1346,330.85,1983.69,0.904398322,0.9467824,39.51562798,780.806
30.09,Male,61.25,1.55,172.15,120.14,52.21,1.3,1405.17,Strength,27.79591484,2.99,2.01,25.49,1620,362.51,1582.07,0.566366517,0.697879756,44.22500216,942.526
24.35,Male,60.21,1.79,170.2,164.8,62.91,1.97,1538.96,Yoga,19.74443287,3.99,3.02,18.79,1664,345.56,1781.89,0.949669121,0.96827262,48.32187697,1361.5064
55.87,Female,58.91,1.56,181.73,155.5,57.19,1.26,1665.97,HIIT,24.30438665,3.99,2.02,24.21,1689,175.21,2427.8,0.789384937,0.855664998,44.59228582,441.5292
27.59,Female,86.65,1.76,197.18,121.27,60.07,1.21,1160.63,Cardio,32.37718066,3.02,1.99,27.97,2403,343.48,2204.46,0.44635694,0.615021807,58.59517296,831.2216
25.12,Male,76.46,1.96,180.16,119.42,59.13,0.67,663.3,Strength,24.04088274,2.99,1,19.9,2041,332.71,1927.17,0.498140957,0.66285524,58.07834106,445.8314
41.88,Male,76.57,1.97,165.42,157.38,65.05,1.14,1095.31,Cardio,25.52205218,2.98,2.01,19.73,2220,348.56,1557.34,0.919896383,0.951396445,57.02776465,794.7168
34.01,Female,111.91,1.85,162.08,133.87,65.77,1.17,842.4,Yoga,33.83388448,3.97,2,32.7,3011,350.32,2264.52,0.707091683,0.825950148,74.04649988,819.7488
18.05,Female,126.66,1.67,171.68,153.23,60.1,1.46,1927.2,HIIT,35,2.98,2,45.42,3265,365.46,2364.37,0.834647786,0.892532619,82.329,1067.1432
31.65,Male,126.44,1.83,198.24,146.26,62.08,1.09,1178.18,Strength,35,3,2.01,37.76,3287,362.61,2451.96,0.618243243,0.737792575,82.186,790.4898
40.05,Female,70.05,1.55,171.04,163.03,73.99,0.86,1040.6,HIIT,30.96431118,3.01,1,29.16,1909,353.5,2253.81,0.917465224,0.953168849,48.35950002,608.02
42.77,Female,55.56,1.73,166.98,165.32,61.88,1.68,1964.09,Strength,22.03459272,4.98,2.99,18.56,1440,327.6,2420.39,0.984205519,0.99005869,43.31758028,1100.736
56.81,Female,81.51,1.86,161.74,145.2,70.22,1.81,2590.29,HIIT,24.35505976,5,3.01,23.56,2115,347.91,1811.47,0.819274476,0.897737109,61.65819079,1259.4342
38.21,Male,70.74,1.52,164.02,143.61,65.94,1.19,1570.8,HIIT,27.66516722,3.99,2,30.62,1902,368.97,2559.26,0.791904568,0.875563956,51.16966071,878.1486
55.91,Female,88.72,1.68,176.07,152.46,64.95,1.77,1381.66,Yoga,33.54846202,5,3.01,31.43,2334,338.84,1565.6,0.787526998,0.865905606,58.9558045,1199.4936
46.94,Female,40.41,1.76,172.68,131.41,62.96,0.8,968,HIIT,16.37216689,3.03,1,13.05,1328,334.02,2003.4,0.623860736,0.761003011,33.79400736,534.432
25.22,Male,104.98,1.88,173.78,155.85,67,1.34,1765.85,HIIT,28.96784778,2.98,1.98,29.7,2867,357.67,1588.7,0.83208466,0.89682357,74.5695534,958.5556
45.12,Male,89.7,1.81,177.87,152.68,69.95,1.69,1977.3,Strength,24.79921394,5,3,27.38,2638,355.44,2265.24,0.76658636,0.858379716,67.4551051,1201.3872
18.85,Female,85.21,1.85,194.9,156.16,61.86,1.66,1940.71,Strength,27.50205104,4.04,2.99,24.9,2440,363.72,2514.41,0.708809381,0.801231401,61.77550231,1207.5504
52.28,Male,82.15,1.72,166.27,136.96,52.79,1.02,979.2,Cardio,26.23989802,4.02,2,27.77,2206,342.13,1775.48,0.741716602,0.823720455,60.59392378,697.9452
20.31,Female,76.43,1.62,168.27,132.17,50.8,1.36,1305.6,Cardio,29.39557828,3.99,2,29.12,2094,331.98,1604.78,0.692687495,0.785463838,53.96295952,902.9856
35.1,Male,43.89,1.62,196.15,157.36,65.15,0.57,689.7,HIIT,18.700012,2.02,1,16.72,1281,337.14,1372.75,0.70389313,0.802243181,35.68256474,384.3396
30.19,Female,77.76,1.78,165.87,130.04,62.01,1.41,1859.65,HIIT,26.25514926,4.01,1.99,24.54,2071,351.28,2283.26,0.655016368,0.78398746,57.34399593,990.6096
55.55,Male,62.72,1.86,198.13,143.77,53.07,1.38,993.6,Yoga,20.48472402,3.99,2,18.13,1671,359.6,1223.78,0.625258514,0.725634684,49.87198109,992.496
32.61,Female,46.15,1.9,193.01,143.34,50.01,1.45,1920.38,HIIT,15.57161757,2.96,2.04,12.78,1252,337.67,1427.66,0.652657343,0.742655821,38.96369849,979.243
22.99,Male,59.04,1.78,185.32,141.02,58.07,1.67,2386.26,HIIT,22.0061327,4.98,2.99,18.63,1637,330.19,2250.28,0.651866405,0.760954025,46.04757925,1102.8346
32.36,Male,84.33,1.74,195.34,126.35,63.02,1.46,962.72,Yoga,28.45389592,2.99,1,27.85,2210,362.42,1477.6,0.478612455,0.646820928,60.33482957,1058.2664
29.82,Female,121.23,2,179.01,160.07,59.86,1.25,903,Yoga,25.89281483,3.99,2.04,30.31,3333,349.74,1928.55,0.841040705,0.894195855,89.84014058,874.35
33.47,Male,64.49,1.63,185.92,120.19,73.86,1.57,2245.1,HIIT,22.67451186,5,3,24.27,1803,337.23,1963.27,0.413439229,0.646460843,49.8672073,1058.9022
32.93,Male,74.13,1.76,191.96,145.33,65.93,1.15,827.31,Yoga,24.36805631,4,1.99,23.93,1987,370.65,1440.37,0.630008728,0.757084809,56.06595986,852.495
53.67,Male,46.13,1.5,174.91,164.61,58.11,1.38,914.11,Yoga,24.24578575,2,1.04,20.5,1343,347.18,2297.62,0.911815068,0.941112572,34.94541904,958.2168
46.07,Male,59.73,1.65,174.88,136.88,69.02,1.67,2386.26,HIIT,23.4645732,3.97,2.99,21.94,1574,367.09,2499.07,0.64103533,0.782708143,45.71461043,1226.0806
38.86,Male,59.33,1.83,169.98,153.8,58.86,1.35,1296,Cardio,18.17478964,4.01,2,17.72,1649,354.81,1736.74,0.854391649,0.904812331,48.54689731,957.987
18.82,Male,48.82,1.52,186.2,135.4,55.77,0.96,634.18,Yoga,24.23699391,2.01,1.01,21.13,1132,365.49,1419.81,0.610519052,0.727175081,36.98749957,701.7408
36.06,Male,59.59,1.78,183.59,120.98,60.04,0.84,553.39,Yoga,22.9194486,1.98,1,18.81,1603,363.87,2760.14,0.493241603,0.658968353,45.93230058,611.3016
55.19,Male,70.54,1.62,166.23,161.88,68.09,0.53,640.13,HIIT,28.87812004,2.99,1,26.88,2112,345.68,1744.17,0.955675566,0.973831438,50.16937413,366.4208
55.16,Male,86.69,1.77,175.7,156.61,61.14,0.99,951.19,Cardio,26.43717197,3,2.01,27.67,2339,336.96,2034.95,0.83336243,0.89134889,63.77161562,667.1808
58.37,Female,51.69,1.79,173.29,169.08,51.91,1.12,1352.74,HIIT,19.12315054,3,1,16.13,1505,335.51,1749.02,0.965315538,0.975705465,41.80524348,751.5424
51.01,Male,48.81,1.77,198.94,154.38,74.07,1.48,975.91,Yoga,16.30754065,2.02,1,15.58,1488,335.45,3091.6,0.643148875,0.776012868,40.85028941,992.932
22.25,Male,61.76,1.52,169.24,166.3,60.84,1.83,2144.39,Strength,23.71145779,5,3.02,26.73,1937,363.43,2437.72,0.972878229,0.98262822,47.11580367,1330.1538
49.35,Female,55.38,1.6,196.04,139.78,60.96,1.89,2696.46,HIIT,21.59126603,4.98,2.97,21.63,1699,361.65,1710.55,0.58350607,0.713017751,43.42275687,1367.037
56.94,Male,122.07,1.88,165.08,134.27,57.88,1.12,986.5,Cardio,35,3.01,1.01,34.54,3114,365.17,1576.64,0.712593284,0.813363218,79.3455,817.9808
23.04,Female,79.31,1.73,192.04,155.64,56.06,1.46,1925.59,HIIT,27.99586288,4,1.99,26.5,2126,335.59,1798.09,0.732313576,0.810456155,57.10648115,979.9228
38.73,Male,61.49,1.66,162.35,166.55,62.94,0.93,921.54,Strength,21.16416334,3,1.01,22.31,1700,329.48,1813.61,1.042249271,1.025870034,48.47615596,612.8328
59.07,Female,41.14,1.65,171.94,131.47,59.19,1.23,811.06,Yoga,19.55955145,1.98,1,15.11,1258,338.17,1693.92,0.641064302,0.764627196,33.09320053,831.8982
